_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.4507738167777158	-0.005930682514092439	NA	NA	bound	297	lex	10_10	1	weight	5000	5000	nav	4_4	222	herinneren	0.2005376265774728	BOW	nav_5000	c1	0
herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5094832282713024	-0.16881139926005098	NA	NA	bound	297	lex	10_10	1	weight	5000	5000	all	4_4	222	herinneren	0.17204434851844622	BOW	all_5000	c2	0
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.4536996416622992	0.005292986175560194	NA	NA	bound	297	lex	10_10	1	weight	FOC	199	nav	4_4	222	herinneren	0.20674017306426873	BOW	nav_FOC	c1	0
herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.4567118215022323	-0.004397102706308336	NA	NA	bound	297	lex	10_10	1	weight	FOC	297	all	4_4	222	herinneren	0.19042269969555947	BOW	all_FOC	c1	0
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.3965630888198872	0.06385028580287987	NA	NA	bound	297	lex	10_10	1	selection	5000	5000	nav	4_4	222	herinneren	0.21177328285672972	BOW	nav_5000	c1	0
herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.42951783568169644	-0.2767638503658752	NA	NA	bound	297	lex	10_10	1	selection	5000	5000	all	4_4	222	herinneren	0.2103210545718196	BOW	all_5000	c2	0
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.40943223951360247	0.047310262638491585	NA	NA	bound	297	lex	10_10	1	selection	FOC	199	nav	4_4	222	herinneren	0.214781383609568	BOW	nav_FOC	c1	0
herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.42159744395764714	0.02936904969587194	NA	NA	bound	297	lex	10_10	1	selection	FOC	297	all	4_4	222	herinneren	0.19399029607865179	BOW	all_FOC	c1	0
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.3797663478312055	0.18439187424967696	NA	NA	bound	706	lex	10_10	1	no	5000	5000	nav	4_4	239	herinneren	0.22743662295787118	BOW	nav_5000	c3	0
herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.41595063310320535	0.45450334685314187	NA	NA	bound	706	lex	10_10	1	no	5000	5000	all	4_4	239	herinneren	0.2001128259614184	BOW	all_5000	c2	0
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.37063137108700916	0.1779927593578894	NA	NA	bound	706	lex	10_10	1	no	FOC	522	nav	4_4	239	herinneren	0.23016162978485852	BOW	nav_FOC	c3	0
herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.3845591249315284	0.1581616056145526	NA	NA	bound	706	lex	10_10	1	no	FOC	706	all	4_4	239	herinneren	0.2163734896930132	BOW	all_FOC	c3	0
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.35735366449481865	-0.030050211227774477	NA	NA	bound	461	all	10_10	1	weight	5000	5000	nav	4_4	240	herinneren	0.07463671414617161	BOW	nav_5000	c4	0
herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.3598679081307967	-0.01547655752955042	NA	NA	bound	461	all	10_10	1	weight	5000	5000	all	4_4	240	herinneren	0.10447085195834133	BOW	all_5000	c4	0
herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.2952619707075756	-0.019893914094839354	NA	NA	bound	461	all	10_10	1	weight	FOC	199	nav	4_4	240	herinneren	0.11742229828999746	BOW	nav_FOC	c4	0
herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.29843293431422224	-0.021984389465948346	NA	NA	bound	461	all	10_10	1	weight	FOC	461	all	4_4	240	herinneren	0.09570652679686427	BOW	all_FOC	c4	0
herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.22295708740079892	0.016127674062587433	NA	NA	bound	461	all	10_10	1	selection	5000	5000	nav	4_4	240	herinneren	0.14067344043275737	BOW	nav_5000	c4	0
herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.17697561618211707	0.17563094748663127	NA	NA	bound	461	all	10_10	1	selection	5000	5000	all	4_4	240	herinneren	0.22811915902293484	BOW	all_5000	c5	0
herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.06722547469382241	0.023585353625762386	NA	NA	bound	461	all	10_10	1	selection	FOC	199	nav	4_4	240	herinneren	0.1834336499953425	BOW	nav_FOC	c5	0
herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.09470556950693852	0.0193523169251587	NA	NA	bound	461	all	10_10	1	selection	FOC	461	all	4_4	240	herinneren	0.15223655975825298	BOW	all_FOC	c5	0
herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.09995181191411734	0.14778190467601718	NA	NA	bound	1046	all	10_10	1	no	5000	5000	nav	4_4	240	herinneren	0.1996720061168474	BOW	nav_5000	c5	0
herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.12928424225418012	0.5287530356128666	NA	NA	bound	1046	all	10_10	1	no	5000	5000	all	4_4	240	herinneren	0.23355114696185025	BOW	all_5000	c3	0
herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.045830122841066426	0.15721675235207822	NA	NA	bound	1046	all	10_10	1	no	FOC	522	nav	4_4	240	herinneren	0.16968230364556702	BOW	nav_FOC	c6	0
herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.04397760048080106	0.1769969638872401	NA	NA	bound	1046	all	10_10	1	no	FOC	1046	all	4_4	240	herinneren	0.16053174955087687	BOW	all_FOC	c6	0
