_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
herstructureren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15213080562581818	0.07435315511010139	NA	NA	bound	405	lex	10_10	1	weight	nav_5000	5000	4_4	233	herstructureren	0.2621040827771927	BOW	c1	0
herstructureren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.27513718945182364	0.004265489859265632	NA	NA	bound	405	lex	10_10	1	weight	all_5000	5000	4_4	233	herstructureren	0.2598860103167724	BOW	c2	0
herstructureren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15773355142692783	0.09023641774381386	NA	NA	bound	405	lex	10_10	1	weight	nav_FOC	303	4_4	233	herstructureren	0.24954453291087828	BOW	c1	0
herstructureren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15559877314068912	0.0879950730754316	NA	NA	bound	405	lex	10_10	1	weight	all_FOC	405	4_4	233	herstructureren	0.24516502373256707	BOW	c1	0
herstructureren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1099706497269358	0.0836689687836585	NA	NA	bound	405	lex	10_10	1	selection	nav_5000	5000	4_4	233	herstructureren	0.2595905227634936	BOW	c1	0
herstructureren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3103833004034672	-0.011349934514733257	NA	NA	bound	405	lex	10_10	1	selection	all_5000	5000	4_4	233	herstructureren	0.2485502767599923	BOW	c2	0
herstructureren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11956120284742433	0.09378364065117341	NA	NA	bound	405	lex	10_10	1	selection	nav_FOC	303	4_4	233	herstructureren	0.23622722411322614	BOW	c3	0
herstructureren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.12349040541322877	0.09653204904903631	NA	NA	bound	405	lex	10_10	1	selection	all_FOC	405	4_4	233	herstructureren	0.236799148558414	BOW	c3	0
herstructureren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.14554797035154696	0.14599430004219938	NA	NA	bound	722	lex	10_10	1	no	nav_5000	5000	4_4	236	herstructureren	0.25608749464745545	BOW	c3	0
herstructureren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.4020934549433056	0.00770256433948041	NA	NA	bound	722	lex	10_10	1	no	all_5000	5000	4_4	236	herstructureren	0.2506108794466334	BOW	c2	0
herstructureren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.17216077015502187	0.1525898447495702	NA	NA	bound	722	lex	10_10	1	no	nav_FOC	530	4_4	236	herstructureren	0.24619618143062375	BOW	c3	0
herstructureren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.17591518697292824	0.15345785365646064	NA	NA	bound	722	lex	10_10	1	no	all_FOC	722	4_4	236	herstructureren	0.24138800889088222	BOW	c3	0
herstructureren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.09674805753546349	0.14491934752979785	NA	NA	bound	543	all	10_10	1	weight	nav_5000	5000	4_4	239	herstructureren	0.23589414810163692	BOW	c4	0
herstructureren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.27436313923253947	0.01961522410590266	NA	NA	bound	543	all	10_10	1	weight	all_5000	5000	4_4	239	herstructureren	0.2563030467450036	BOW	c2	0
herstructureren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.009827441739437386	0.18006780497600705	NA	NA	bound	543	all	10_10	1	weight	nav_FOC	303	4_4	239	herstructureren	0.22689719530956654	BOW	c5	0
herstructureren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.01449101651822266	0.18269301263247578	NA	NA	bound	543	all	10_10	1	weight	all_FOC	543	4_4	239	herstructureren	0.2322493302135678	BOW	c5	0
herstructureren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1908234088809951	0.17839513104156612	NA	NA	bound	543	all	10_10	1	selection	nav_5000	5000	4_4	239	herstructureren	0.17285107382763823	BOW	c4	0
herstructureren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.40214367023385383	-0.03921465197895339	NA	NA	bound	543	all	10_10	1	selection	all_5000	5000	4_4	239	herstructureren	0.23417263481609618	BOW	c2	0
herstructureren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.05830483439631662	0.16424391355123766	NA	NA	bound	543	all	10_10	1	selection	nav_FOC	303	4_4	239	herstructureren	0.22843901063979616	BOW	c5	0
herstructureren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.05448060615992941	0.16737707119773704	NA	NA	bound	543	all	10_10	1	selection	all_FOC	543	4_4	239	herstructureren	0.22674537807372114	BOW	c5	0
herstructureren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.15424778433594605	0.2804998021291044	NA	NA	bound	1025	all	10_10	1	no	nav_5000	5000	4_4	239	herstructureren	0.045372769614843406	BOW	c5	0
herstructureren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.5104083350316543	0.0065003230134349525	NA	NA	bound	1025	all	10_10	1	no	all_5000	5000	4_4	239	herstructureren	0.1956735077621349	BOW	c2	0
herstructureren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.017179556876250033	0.2537803758206572	NA	NA	bound	1025	all	10_10	1	no	nav_FOC	530	4_4	239	herstructureren	0.23775963140518083	BOW	c5	0
herstructureren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.0057821431448931105	0.2665608080889143	NA	NA	bound	1025	all	10_10	1	no	all_FOC	1025	4_4	239	herstructureren	0.22715032818361633	BOW	c5	0
herstructureren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.09479071098203987	-0.00282061041060583	NA	NA	bound	344	lex	5_5	1	weight	nav_5000	5000	4_4	233	herstructureren	0.26285767506319957	BOW	c1	0
herstructureren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.18908880809897188	-0.091828970539913235	NA	NA	bound	344	lex	5_5	1	weight	all_5000	5000	4_4	233	herstructureren	0.2672656054843914	BOW	c2	0
herstructureren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08532059932981254	0.00855092912049693	NA	NA	bound	344	lex	5_5	1	weight	nav_FOC	256	4_4	233	herstructureren	0.2527974529396559	BOW	c1	0
herstructureren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.08274129209493666	0.011734819047105313	NA	NA	bound	344	lex	5_5	1	weight	all_FOC	344	4_4	233	herstructureren	0.2512746752048469	BOW	c1	0
herstructureren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.07711697085055327	0.0027000942229310435	NA	NA	bound	344	lex	5_5	1	selection	nav_5000	5000	4_4	233	herstructureren	0.25884675045533817	BOW	c1	0
herstructureren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.20553625454096341	-0.11697348759731002	NA	NA	bound	344	lex	5_5	1	selection	all_5000	5000	4_4	233	herstructureren	0.260735094579075	BOW	c2	1
herstructureren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.07193970581471641	0.019289519536622113	NA	NA	bound	344	lex	5_5	1	selection	nav_FOC	256	4_4	233	herstructureren	0.2462817046154815	BOW	c1	0
herstructureren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.07275517849657405	0.020208116447077693	NA	NA	bound	344	lex	5_5	1	selection	all_FOC	344	4_4	233	herstructureren	0.24964639087266421	BOW	c1	1
herstructureren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.09599350370969228	0.0027818666154953596	NA	NA	bound	442	lex	5_5	1	no	nav_5000	5000	4_4	236	herstructureren	0.2636557714650293	BOW	c1	0
herstructureren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.22297098223564457	-0.11931523461022227	NA	NA	bound	442	lex	5_5	1	no	all_5000	5000	4_4	236	herstructureren	0.25339095674897993	BOW	c2	0
herstructureren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.08883987515344464	0.027775628031573695	NA	NA	bound	442	lex	5_5	1	no	nav_FOC	328	4_4	236	herstructureren	0.2522426881767271	BOW	c1	0
herstructureren.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.0898184862268538	0.030868402693215426	NA	NA	bound	442	lex	5_5	1	no	all_FOC	442	4_4	236	herstructureren	0.25509224845575146	BOW	c1	0
herstructureren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.11297750554881926	0.07131360371260496	NA	NA	bound	460	all	5_5	1	weight	nav_5000	5000	4_4	239	herstructureren	0.24477011035261045	BOW	c5	0
herstructureren.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.16451705868596278	-0.0963421339847094	NA	NA	bound	460	all	5_5	1	weight	all_5000	5000	4_4	239	herstructureren	0.26638719164440755	BOW	c2	0
herstructureren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.0340382270874115	0.07040713348878855	NA	NA	bound	460	all	5_5	1	weight	nav_FOC	256	4_4	239	herstructureren	0.23830125915738795	BOW	c5	0
herstructureren.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.03823125688338963	0.06862857783115975	NA	NA	bound	460	all	5_5	1	weight	all_FOC	460	4_4	239	herstructureren	0.23713970391167033	BOW	c5	0
herstructureren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.22910636848311886	0.1056620743614171	NA	NA	bound	460	all	5_5	1	selection	nav_5000	5000	4_4	239	herstructureren	0.22146352577945386	BOW	c5	0
herstructureren.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.24852548277608313	-0.22035050312868262	NA	NA	bound	460	all	5_5	1	selection	all_5000	5000	4_4	239	herstructureren	0.25157598619101124	BOW	c6	0
herstructureren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.057220251257377654	0.07083436694894486	NA	NA	bound	460	all	5_5	1	selection	nav_FOC	256	4_4	239	herstructureren	0.22501407876458382	BOW	c5	0
herstructureren.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.05935312260607371	0.07205717889625882	NA	NA	bound	460	all	5_5	1	selection	all_FOC	460	4_4	239	herstructureren	0.22446548745436679	BOW	c5	1
herstructureren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.2390917797013302	0.1448052026665951	NA	NA	bound	632	all	5_5	1	no	nav_5000	5000	4_4	239	herstructureren	0.07553373917550996	BOW	c5	0
herstructureren.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.2716780251421034	-0.2203840445188006	NA	NA	bound	632	all	5_5	1	no	all_5000	5000	4_4	239	herstructureren	0.24697447209202714	BOW	c2	0
herstructureren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.05339080498199773	0.10198598680963092	NA	NA	bound	632	all	5_5	1	no	nav_FOC	328	4_4	239	herstructureren	0.2408484115074134	BOW	c5	0
herstructureren.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.06483180824631607	0.11111508179293415	NA	NA	bound	632	all	5_5	1	no	all_FOC	632	4_4	239	herstructureren	0.2408058827879793	BOW	c5	0
herstructureren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.03511443879441424	-0.08810722941295687	NA	NA	bound	249	lex	3_3	1	weight	nav_5000	5000	4_4	220	herstructureren	0.26732982876355643	BOW	c7	0
herstructureren.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.09470777822023217	-0.1526610833333262	NA	NA	bound	249	lex	3_3	1	weight	all_5000	5000	4_4	220	herstructureren	0.2723004110797632	BOW	c2	0
herstructureren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0415775824925609	-0.0653574301441622	NA	NA	bound	249	lex	3_3	1	weight	nav_FOC	181	4_4	220	herstructureren	0.262101610541317	BOW	c7	0
herstructureren.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04217524353744025	-0.06132651818170238	NA	NA	bound	249	lex	3_3	1	weight	all_FOC	249	4_4	220	herstructureren	0.2636611853928989	BOW	c7	0
herstructureren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.017528940799571714	-0.0849495066600223	NA	NA	bound	249	lex	3_3	1	selection	nav_5000	5000	4_4	220	herstructureren	0.2613034241795078	BOW	c7	0
herstructureren.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.09391154938965297	-0.16575956082148008	NA	NA	bound	249	lex	3_3	1	selection	all_5000	5000	4_4	220	herstructureren	0.26787500744378495	BOW	c2	0
herstructureren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.022531484808487552	-0.05497719158496782	NA	NA	bound	249	lex	3_3	1	selection	nav_FOC	181	4_4	220	herstructureren	0.2535629040355291	BOW	c7	0
herstructureren.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.024727219577281603	-0.05378578497849204	NA	NA	bound	249	lex	3_3	1	selection	all_FOC	249	4_4	220	herstructureren	0.2538729106459315	BOW	c7	0
herstructureren.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.014173229128771357	-0.0971375589050067	NA	NA	bound	277	lex	3_3	1	no	nav_5000	5000	4_4	225	herstructureren	0.263824568814843	BOW	c7	0
