_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	foc_base	stress	soc_vector	pam_cluster	is_medoid
schaal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.0478370958976683	-0.06320671264550021	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	weight	nav	4_4	BOW	0.13280550597226234	nav_5000	c1	0
schaal.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.123539486736736	-0.09958591944361041	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	weight	all	4_4	BOW	0.14204184377072765	all_5000	c1	0
schaal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.010784559731240513	-0.08032964942846467	1	FOC	447	311	schaal	NA	NA	bound	557	lex	10_10	weight	nav	4_4	BOW	0.1294715625618795	nav_FOC	c2	0
schaal.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	0.007176136891852633	-0.07090094248639454	1	FOC	557	311	schaal	NA	NA	bound	557	lex	10_10	weight	all	4_4	BOW	0.13259120549344774	all_FOC	c2	0
schaal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.07916124903671914	-0.06660797746923497	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	selection	nav	4_4	BOW	0.17661305941828426	nav_5000	c3	0
schaal.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.021029964884396783	-0.2454693171501932	1	5000	5000	311	schaal	NA	NA	bound	557	lex	10_10	selection	all	4_4	BOW	0.18165116505182638	all_5000	c3	0
schaal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.16635475022522742	-0.08748913570190475	1	FOC	447	311	schaal	NA	NA	bound	557	lex	10_10	selection	nav	4_4	BOW	0.17333379978607064	nav_FOC	c3	0
schaal.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.15899951412952776	-0.08158207027214132	1	FOC	557	311	schaal	NA	NA	bound	557	lex	10_10	selection	all	4_4	BOW	0.17065365060266732	all_FOC	c3	0
schaal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.2162086477852109	-0.08350904082970778	1	5000	5000	318	schaal	NA	NA	bound	1117	lex	10_10	no	nav	4_4	BOW	0.1953187251606055	nav_5000	c4	0
schaal.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.4392074505591337	-0.24655880595573534	1	5000	5000	318	schaal	NA	NA	bound	1117	lex	10_10	no	all	4_4	BOW	0.20714788841304965	all_5000	c5	0
schaal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.2528530891067379	-0.07617783041381286	1	FOC	880	318	schaal	NA	NA	bound	1117	lex	10_10	no	nav	4_4	BOW	0.19473634658452788	nav_FOC	c4	0
schaal.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.2599339229179532	-0.0743142052433475	1	FOC	1117	318	schaal	NA	NA	bound	1117	lex	10_10	no	all	4_4	BOW	0.18854383184322007	all_FOC	c4	0
schaal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05695378349112592	-0.02656928105357705	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	weight	nav	4_4	BOW	0.1275307716438917	nav_5000	c2	0
schaal.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.1104490945283154	-0.010057455215771	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	weight	all	4_4	BOW	0.13176656191355113	all_5000	c6	0
schaal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.01419406977399056	-0.0439553097485083	1	FOC	447	318	schaal	NA	NA	bound	708	all	10_10	weight	nav	4_4	BOW	0.1516741361419944	nav_FOC	c2	0
schaal.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.006007775033666437	-0.03509407626290938	1	FOC	708	318	schaal	NA	NA	bound	708	all	10_10	weight	all	4_4	BOW	0.1460608607192935	all_FOC	c2	0
schaal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1903738771122358	0.09784696440492721	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	selection	nav	4_4	BOW	0.19690554923013337	nav_5000	c7	0
schaal.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.19467211445033028	0.35581118738631884	1	5000	5000	318	schaal	NA	NA	bound	708	all	10_10	selection	all	4_4	BOW	0.21159826616563332	all_5000	c5	0
schaal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.23087026580166403	0.008127911251283823	1	FOC	447	318	schaal	NA	NA	bound	708	all	10_10	selection	nav	4_4	BOW	0.1846325321087828	nav_FOC	c7	0
schaal.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.2280522272176811	0.02461830938244464	1	FOC	708	318	schaal	NA	NA	bound	708	all	10_10	selection	all	4_4	BOW	0.1880491582187897	all_FOC	c7	0
schaal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.3072173753930914	0.03200258378520346	1	5000	5000	318	schaal	NA	NA	bound	1485	all	10_10	no	nav	4_4	BOW	0.20841924512801982	nav_5000	c4	0
schaal.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.43326671115557075	0.3300517328165683	1	5000	5000	318	schaal	NA	NA	bound	1485	all	10_10	no	all	4_4	BOW	0.2073721814527292	all_5000	c5	0
schaal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.3189936949649289	3.3037805711389395e-4	1	FOC	880	318	schaal	NA	NA	bound	1485	all	10_10	no	nav	4_4	BOW	0.19519200617109836	nav_FOC	c4	1
schaal.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.34760042341133546	0.024032416767316305	1	FOC	1485	318	schaal	NA	NA	bound	1485	all	10_10	no	all	4_4	BOW	0.1917322062641537	all_FOC	c4	0
schaal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07441270421380054	-0.0737702854116225	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	weight	nav	4_4	BOW	0.12939609013871178	nav_5000	c1	0
schaal.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.15325300681939963	-0.10862329593724301	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	weight	all	4_4	BOW	0.14511130707774364	all_5000	c1	0
schaal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.019558164402032188	-0.09299515199564228	1	FOC	330	301	schaal	NA	NA	bound	412	lex	5_5	weight	nav	4_4	BOW	0.14450372525020855	nav_FOC	c2	0
schaal.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.01785451353231469	-0.08298572031465043	1	FOC	412	301	schaal	NA	NA	bound	412	lex	5_5	weight	all	4_4	BOW	0.1449125328399365	all_FOC	c2	0
schaal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.002454656154871279	-0.09470887168518793	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	selection	nav	4_4	BOW	0.1662509123291929	nav_5000	c3	0
schaal.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.11213926062706489	-0.18776939184042973	1	5000	5000	301	schaal	NA	NA	bound	412	lex	5_5	selection	all	4_4	BOW	0.1680435188302034	all_5000	c1	0
schaal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.09305911764157068	-0.10421301247969121	1	FOC	330	301	schaal	NA	NA	bound	412	lex	5_5	selection	nav	4_4	BOW	0.17914762137141102	nav_FOC	c3	0
schaal.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.09094865428464395	-0.09642833938667845	1	FOC	412	301	schaal	NA	NA	bound	412	lex	5_5	selection	all	4_4	BOW	0.17854899884503514	all_FOC	c3	1
