_id	_cws.church.foc10.nav.weight.nobound	_count.church.foc10.nav.weight.nobound	_cws.church.foc10.nav.selection.nobound	_count.church.foc10.nav.selection.nobound	_cws.church.foc10.nav.noweight.nobound	_count.church.foc10.nav.noweight.nobound	_cws.church.foc10.all.weight.nobound	_count.church.foc10.all.weight.nobound	_cws.church.foc10.all.selection.nobound	_count.church.foc10.all.selection.nobound	_cws.church.foc10.all.noweight.nobound	_count.church.foc10.all.noweight.nobound	_cws.church.foc5.nav.weight.nobound	_count.church.foc5.nav.weight.nobound	_cws.church.foc5.nav.selection.nobound	_count.church.foc5.nav.selection.nobound	_cws.church.foc5.nav.noweight.nobound	_count.church.foc5.nav.noweight.nobound	_cws.church.foc5.all.weight.nobound	_count.church.foc5.all.weight.nobound	_cws.church.foc5.all.selection.nobound	_count.church.foc5.all.selection.nobound	_cws.church.foc5.all.noweight.nobound	_count.church.foc5.all.noweight.nobound	_cws.church.foc10.nav.weight.bound	_count.church.foc10.nav.weight.bound	_cws.church.foc10.nav.selection.bound	_count.church.foc10.nav.selection.bound	_cws.church.foc10.nav.noweight.bound	_count.church.foc10.nav.noweight.bound	_cws.church.foc10.all.weight.bound	_count.church.foc10.all.weight.bound	_cws.church.foc10.all.selection.bound	_count.church.foc10.all.selection.bound	_cws.church.foc10.all.noweight.bound	_count.church.foc10.all.noweight.bound	_cws.church.foc5.nav.weight.bound	_count.church.foc5.nav.weight.bound	_cws.church.foc5.nav.selection.bound	_count.church.foc5.nav.selection.bound	_cws.church.foc5.nav.noweight.bound	_count.church.foc5.nav.noweight.bound	_cws.church.foc5.all.weight.bound	_count.church.foc5.all.weight.bound	_cws.church.foc5.all.selection.bound	_count.church.foc5.all.selection.bound	_cws.church.foc5.all.noweight.bound	_count.church.foc5.all.noweight.bound
church/n/wlp_gb_b01/10997896	disagreement/n;split/n;stable/n	3.0	disagreement/n;split/n;stable/n	3.0	be/v;change/v;disagreement/n;live/v;split/n;stable/n;supposed/j;tension/n	8	and/c;disagreement/n;split/n;stable/n	4	and/c;disagreement/n;split/n;stable/n	4	and/c;be/v;but/c;change/v;disagreement/n;forever/r;live/v;split/n;stable/n;supposed/j;tension/n;with/i	12	disagreement/n;split/n	2.0	disagreement/n;split/n	2.0	disagreement/n;split/n;supposed/j;tension/n	4	disagreement/n;split/n	2.0	disagreement/n;split/n	2.0	disagreement/n;split/n;supposed/j;tension/n	4	disagreement/n;split/n;stable/n	3.0	disagreement/n;split/n;stable/n	3.0	be/v;change/v;disagreement/n;live/v;split/n;stable/n;supposed/j;tension/n	8	and/c;disagreement/n;split/n;stable/n	4	and/c;disagreement/n;split/n;stable/n	4	and/c;be/v;but/c;change/v;disagreement/n;forever/r;live/v;split/n;stable/n;supposed/j;tension/n;with/i	12	disagreement/n;split/n	2.0	disagreement/n;split/n	2.0	disagreement/n;split/n;supposed/j;tension/n	4.0	disagreement/n;split/n	2.0	disagreement/n;split/n	2.0	disagreement/n;split/n;supposed/j;tension/n	4
church/n/wlp_gb_b01/17222803	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	6.0	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	6.0	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;pay/v;price/n;shut/v	9	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	8	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	8	and/c;beautiful/j;empty/v;farmhouse/n;history/n;it/p;local/j;museum/n;of/i;pay/v;price/n;shut/v;you/p	13	beautiful/j;empty/v;farmhouse/n;museum/n	4.0	beautiful/j;empty/v;farmhouse/n;museum/n	4.0	beautiful/j;empty/v;farmhouse/n;museum/n;shut/v	5	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	5.0	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	5.0	and/c;beautiful/j;empty/v;farmhouse/n;museum/n;shut/v;you/p	7	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	6.0	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n	6.0	beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;shut/v	7	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	8	and/c;beautiful/j;empty/v;farmhouse/n;history/n;local/j;museum/n;of/i	8	and/c;beautiful/j;empty/v;farmhouse/n;history/n;it/p;local/j;museum/n;of/i;shut/v;you/p	11	beautiful/j;empty/v;farmhouse/n;museum/n	4.0	beautiful/j;empty/v;farmhouse/n;museum/n	4.0	beautiful/j;empty/v;farmhouse/n;museum/n;shut/v	5.0	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	5.0	and/c;beautiful/j;empty/v;farmhouse/n;museum/n	5.0	and/c;beautiful/j;empty/v;farmhouse/n;museum/n;shut/v;you/p	7
church/n/wlp_gb_b01/18269536	associate/v;bride/n;christ/n;church/n;symbolism/n	5.0	associate/v;bride/n;christ/n;church/n;symbolism/n	5.0	associate/v;be/v;bride/n;can/v;christ/n;church/n;symbolism/n	7	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	8	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	8	and/c;associate/v;be/v;bride/n;can/v;christ/n;church/n;eg/r;if/c;of/i;really/r;symbolism/n;with/i	13	church/n	1.0	church/n	1.0	be/v;can/v;church/n	3	and/c;church/n;eg/r	3.0	and/c;church/n;eg/r	3.0	and/c;be/v;can/v;church/n;eg/r;really/r	6	associate/v;bride/n;christ/n;church/n;symbolism/n	5.0	associate/v;bride/n;christ/n;church/n;symbolism/n	5.0	associate/v;be/v;bride/n;can/v;christ/n;church/n;symbolism/n	7	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	8	and/c;associate/v;bride/n;christ/n;church/n;eg/r;of/i;symbolism/n	8	and/c;associate/v;be/v;bride/n;can/v;christ/n;church/n;eg/r;if/c;of/i;really/r;symbolism/n;with/i	13	church/n	1.0	church/n	1.0	be/v;can/v;church/n	3.0	and/c;church/n;eg/r	3.0	and/c;church/n;eg/r	3.0	and/c;be/v;can/v;church/n;eg/r;really/r	6
church/n/wlp_gb_b01/18493149	apostasy/n;bunkum/n;modern/j	3.0	apostasy/n;bunkum/n;modern/j	3.0	apostasy/n;be/v;bunkum/n;fight/n;give/v;list/n;modern/j;shopping/n	8	against/i;apostasy/n;bunkum/n;modern/j;today/r	5	against/i;apostasy/n;bunkum/n;modern/j;today/r	5	against/i;apostasy/n;be/v;bunkum/n;fight/n;give/v;i/p;list/n;modern/j;now/r;shopping/n;that/c;today/r	13	bunkum/n	1.0	bunkum/n	1.0	be/v;bunkum/n;give/v	3	bunkum/n;today/r	2.0	bunkum/n;today/r	2.0	be/v;bunkum/n;give/v;i/p;now/r;that/c;today/r	7	apostasy/n;bunkum/n	2.0	apostasy/n;bunkum/n	2.0	apostasy/n;be/v;bunkum/n;fight/n	4	against/i;apostasy/n;bunkum/n;today/r	4	against/i;apostasy/n;bunkum/n;today/r	4	against/i;apostasy/n;be/v;bunkum/n;fight/n;that/c;today/r	7	bunkum/n	1.0	bunkum/n	1.0	be/v;bunkum/n	2.0	bunkum/n;today/r	2.0	bunkum/n;today/r	2.0	be/v;bunkum/n;that/c;today/r	4
church/n/wlp_gb_b01/1899773	congregational/j;united/j	2.0	congregational/j;united/j	2.0	be/v;board/n;congregational/j;far/j;know/v;others/n;united/j	7	and/c;as/i;congregational/j;united/j	4	and/c;as/i;congregational/j;united/j	4	about/r;and/c;as/i;be/v;board/n;congregational/j;far/j;know/v;others/n;than/c;there/e;united/j;we/p	13	united/j	1.0	united/j	1.0	board/n;far/j;know/v;others/n;united/j	5	as/i;united/j	2.0	as/i;united/j	2.0	as/i;board/n;far/j;know/v;others/n;than/c;united/j	7	congregational/j;united/j	2.0	congregational/j;united/j	2.0	be/v;board/n;congregational/j;far/j;know/v;others/n;united/j	7	and/c;as/i;congregational/j;united/j	4	and/c;as/i;congregational/j;united/j	4	about/r;and/c;as/i;be/v;board/n;congregational/j;far/j;know/v;others/n;than/c;there/e;united/j;we/p	13	united/j	1.0	united/j	1.0	board/n;far/j;know/v;others/n;united/j	5.0	as/i;united/j	2.0	as/i;united/j	2.0	as/i;board/n;far/j;know/v;others/n;than/c;united/j	7
church/n/wlp_gb_b01/20152510	become/v;dominant/j;minority/n	3.0	become/v;dominant/j;minority/n	3.0	attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;minority/n;switch/n	9	and/c;become/v;dominant/j;minority/n;of/i	5	and/c;become/v;dominant/j;minority/n;of/i	5	and/c;attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;it/p;minority/n;not/x;of/i;precisely/r;switch/n;when/c	15	become/v	1.0	become/v	1.0	attraction/n;become/v;control/n;driver/n;happen/v	5	and/c;become/v;of/i	3.0	and/c;become/v;of/i	3.0	and/c;attraction/n;become/v;control/n;driver/n;happen/v;not/x;of/i	8	become/v;dominant/j;minority/n	3.0	become/v;dominant/j;minority/n	3.0	attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;minority/n;switch/n	9	and/c;become/v;dominant/j;minority/n;of/i	5	and/c;become/v;dominant/j;minority/n;of/i	5	and/c;attraction/n;be/v;become/v;control/n;dominant/j;driver/n;happen/v;it/p;minority/n;not/x;of/i;precisely/r;switch/n;when/c	15	become/v	1.0	become/v	1.0	attraction/n;become/v;control/n;driver/n;happen/v	5.0	and/c;become/v;of/i	3.0	and/c;become/v;of/i	3.0	and/c;attraction/n;become/v;control/n;driver/n;happen/v;not/x;of/i	8
church/n/wlp_gb_b01/4633327	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	7.0	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	7.0	ann/n;be/v;bermondsey/n;christen/v;daughter/n;february/n;magdalene/n;mary/n;st/n;walk/n;year/n	11	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	10	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	10	ann/n;at/i;be/v;bermondsey/n;christen/v;daughter/n;february/n;in/i;magdalene/n;mary/n;of/i;st/n;walk/n;year/n	14	ann/n;christen/v;magdalene/n;mary/n;st/n	5.0	ann/n;christen/v;magdalene/n;mary/n;st/n	5.0	ann/n;be/v;christen/v;magdalene/n;mary/n;st/n	6	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	7.0	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	7.0	ann/n;at/i;be/v;christen/v;in/i;magdalene/n;mary/n;st/n	8	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	7.0	ann/n;bermondsey/n;christen/v;magdalene/n;mary/n;st/n;walk/n	7.0	ann/n;be/v;bermondsey/n;christen/v;daughter/n;february/n;magdalene/n;mary/n;st/n;walk/n;year/n	11	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	10	ann/n;at/i;bermondsey/n;christen/v;in/i;magdalene/n;mary/n;of/i;st/n;walk/n	10	ann/n;at/i;be/v;bermondsey/n;christen/v;daughter/n;february/n;in/i;magdalene/n;mary/n;of/i;st/n;walk/n;year/n	14	ann/n;christen/v;magdalene/n;mary/n;st/n	5.0	ann/n;christen/v;magdalene/n;mary/n;st/n	5.0	ann/n;be/v;christen/v;magdalene/n;mary/n;st/n	6.0	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	7.0	ann/n;at/i;christen/v;in/i;magdalene/n;mary/n;st/n	7.0	ann/n;at/i;be/v;christen/v;in/i;magdalene/n;mary/n;st/n	8
church/n/wlp_gb_b01/6155660	church/n;doctrine/n;false/j;rebuke/n	4.0	church/n;doctrine/n;false/j;rebuke/n	4.0	church/n;doctrine/n;false/j;have/v;interpretation/n;private/j;problem/n;read/v;rebuke/n	9	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	6	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	6	also/r;and/c;church/n;doctrine/n;false/j;for/i;have/v;interpretation/n;one/p;private/j;problem/n;read/v;rebuke/n;to/i;when/c	15	doctrine/n;false/j;rebuke/n	3.0	doctrine/n;false/j;rebuke/n	3.0	doctrine/n;false/j;read/v;rebuke/n	4	and/c;doctrine/n;false/j;rebuke/n;to/i	5.0	and/c;doctrine/n;false/j;rebuke/n;to/i	5.0	and/c;doctrine/n;false/j;for/i;read/v;rebuke/n;to/i	7	church/n;doctrine/n;false/j;rebuke/n	4.0	church/n;doctrine/n;false/j;rebuke/n	4.0	church/n;doctrine/n;false/j;have/v;interpretation/n;private/j;problem/n;read/v;rebuke/n	9	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	6	and/c;church/n;doctrine/n;false/j;rebuke/n;to/i	6	also/r;and/c;church/n;doctrine/n;false/j;for/i;have/v;interpretation/n;one/p;private/j;problem/n;read/v;rebuke/n;to/i;when/c	15	doctrine/n;false/j;rebuke/n	3.0	doctrine/n;false/j;rebuke/n	3.0	doctrine/n;false/j;read/v;rebuke/n	4.0	and/c;doctrine/n;false/j;rebuke/n;to/i	5.0	and/c;doctrine/n;false/j;rebuke/n;to/i	5.0	and/c;doctrine/n;false/j;for/i;read/v;rebuke/n;to/i	7
church/n/wlp_gb_b01/8487380	catholic/j;england/n;faith/n;wales/n	4.0	catholic/j;england/n;faith/n;wales/n	4.0	bad/j;be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;situation/n;wales/n	9	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	7	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	7	and/c;bad/j;be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;far/r;in/i;situation/n;to/i;very/r;wales/n	14	catholic/j;england/n;wales/n	3.0	catholic/j;england/n;wales/n	3.0	catholic/j;detrimental/j;england/n;wales/n	4	and/c;catholic/j;england/n;in/i;to/i;wales/n	6.0	and/c;catholic/j;england/n;in/i;to/i;wales/n	6.0	and/c;catholic/j;detrimental/j;england/n;in/i;to/i;very/r;wales/n	8	catholic/j;england/n;faith/n;wales/n	4.0	catholic/j;england/n;faith/n;wales/n	4.0	be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;wales/n	7	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	7	and/c;catholic/j;england/n;faith/n;in/i;to/i;wales/n	7	and/c;be/v;catholic/j;detrimental/j;dismissal/n;england/n;faith/n;in/i;to/i;very/r;wales/n	11	catholic/j;england/n;wales/n	3.0	catholic/j;england/n;wales/n	3.0	catholic/j;detrimental/j;england/n;wales/n	4.0	and/c;catholic/j;england/n;in/i;to/i;wales/n	6.0	and/c;catholic/j;england/n;in/i;to/i;wales/n	6.0	and/c;catholic/j;detrimental/j;england/n;in/i;to/i;very/r;wales/n	8
church/n/wlp_gb_b02/2828647	abuse/n;catholic/j;kevin/n;ordain/v;sexual/j;witness/v	6.0	abuse/n;catholic/j;kevin/n;ordain/v;sexual/j;witness/v	6.0	abuse/n;be/v;catholic/j;child/n;have/v;hide/v;kevin/n;lee/n;ordain/v;sexual/j;system/n;witness/v	12	abuse/n;as/i;catholic/j;kevin/n;of/i;ordain/v;sexual/j;within/i;witness/v	9	abuse/n;as/i;catholic/j;kevin/n;of/i;ordain/v;sexual/j;within/i;witness/v	9	abuse/n;as/i;be/v;catholic/j;child/n;have/v;hide/v;kevin/n;lee/n;of/i;ordain/v;sexual/j;system/n;within/i;witness/v	15	abuse/n;catholic/j;sexual/j	3.0	abuse/n;catholic/j;sexual/j	3.0	abuse/n;catholic/j;child/n;hide/v;sexual/j	5	abuse/n;catholic/j;of/i;sexual/j;within/i	5.0	abuse/n;catholic/j;of/i;sexual/j;within/i	5.0	abuse/n;catholic/j;child/n;hide/v;of/i;sexual/j;within/i	7	abuse/n;catholic/j;sexual/j;witness/v	4.0	abuse/n;catholic/j;sexual/j;witness/v	4.0	abuse/n;catholic/j;child/n;have/v;hide/v;sexual/j;system/n;witness/v	8	abuse/n;catholic/j;of/i;sexual/j;within/i;witness/v	6	abuse/n;catholic/j;of/i;sexual/j;within/i;witness/v	6	abuse/n;catholic/j;child/n;have/v;hide/v;of/i;sexual/j;system/n;within/i;witness/v	10	abuse/n;catholic/j;sexual/j	3.0	abuse/n;catholic/j;sexual/j	3.0	abuse/n;catholic/j;child/n;hide/v;sexual/j	5.0	abuse/n;catholic/j;of/i;sexual/j;within/i	5.0	abuse/n;catholic/j;of/i;sexual/j;within/i	5.0	abuse/n;catholic/j;child/n;hide/v;of/i;sexual/j;within/i	7
