broadsense	building	count10coha	count10semcor	count5coha	count5semcor	file	sense	supersense	token_id	wf	window10	window10coha	window10semcor	window5	window5coha	window5semcor
service	False	5.0	6.0	3.0	3.0	br-a01	c3	C	church/N/br-a01/2073	church	`` Being at the polls was just like being at <em>church</em> . I did n't smell a drop of liquor ,	`` <span style="font-size:17px">Being</span> at the polls <span style="font-size:17px">was</span> just like <span style="font-size:17px">being</span> at <em>church</em> . I <span style="font-size:17px">did</span> n't <span style="font-size:17px">smell</span> a <span style="font-size:17px">drop</span> of <span style="font-size:17px">liquor</span> ,	`` <span style="font-size:17px">Being</span> at the <span style="font-size:17px">polls</span> <span style="font-size:17px">was</span> just like <span style="font-size:17px">being</span> at <em>church</em> . I <span style="font-size:17px">did</span> n't <span style="font-size:17px">smell</span> a <span style="font-size:17px">drop</span> of <span style="font-size:17px">liquor</span> ,	was just like being at <em>church</em> . I did n't smell	<span style="font-size:17px">was</span> just like <span style="font-size:17px">being</span> at <em>church</em> . I <span style="font-size:17px">did</span> n't <span style="font-size:17px">smell</span>	<span style="font-size:17px">was</span> just like <span style="font-size:17px">being</span> at <em>church</em> . I <span style="font-size:17px">did</span> n't <span style="font-size:17px">smell</span>
organization	False	10.0	10.0	5.0	5.0	br-a07	a1	A	church/N/br-a07/1325	church	the Peace Corps will be able to prevent confusion for <em>church</em> and state over methods , means and goals . There	the <span style="font-size:17px">Peace</span> <span style="font-size:17px">Corps</span> will <span style="font-size:17px">be</span> <span style="font-size:17px">able</span> to <span style="font-size:17px">prevent</span> <span style="font-size:17px">confusion</span> for <em>church</em> and <span style="font-size:17px">state</span> over <span style="font-size:17px">methods</span> , <span style="font-size:17px">means</span> and <span style="font-size:17px">goals</span> . There	the <span style="font-size:17px">Peace</span> <span style="font-size:17px">Corps</span> will <span style="font-size:17px">be</span> <span style="font-size:17px">able</span> to <span style="font-size:17px">prevent</span> <span style="font-size:17px">confusion</span> for <em>church</em> and <span style="font-size:17px">state</span> over <span style="font-size:17px">methods</span> , <span style="font-size:17px">means</span> and <span style="font-size:17px">goals</span> . There	able to prevent confusion for <em>church</em> and state over methods ,	<span style="font-size:17px">able</span> to <span style="font-size:17px">prevent</span> <span style="font-size:17px">confusion</span> for <em>church</em> and <span style="font-size:17px">state</span> over <span style="font-size:17px">methods</span> ,	<span style="font-size:17px">able</span> to <span style="font-size:17px">prevent</span> <span style="font-size:17px">confusion</span> for <em>church</em> and <span style="font-size:17px">state</span> over <span style="font-size:17px">methods</span> ,
organization	False	10.0	11.0	6.0	6.0	br-a07	a1	A	church/N/br-a07/1487	church	projects and still preserve the constitutional requirement on separation of <em>church</em> and state ? R. Sargent Shriver Jr. , director of	<span style="font-size:17px">projects</span> and still <span style="font-size:17px">preserve</span> the <span style="font-size:17px">constitutional</span> <span style="font-size:17px">requirement</span> on <span style="font-size:17px">separation</span> of <em>church</em> and <span style="font-size:17px">state</span> ? <span style="font-size:17px">R.</span> <span style="font-size:17px">Sargent</span> <span style="font-size:17px">Shriver</span> Jr. , <span style="font-size:17px">director</span> of	<span style="font-size:17px">projects</span> and still <span style="font-size:17px">preserve</span> the <span style="font-size:17px">constitutional</span> <span style="font-size:17px">requirement</span> on <span style="font-size:17px">separation</span> of <em>church</em> and <span style="font-size:17px">state</span> ? <span style="font-size:17px">R.</span> <span style="font-size:17px">Sargent</span> <span style="font-size:17px">Shriver</span> <span style="font-size:17px">Jr.</span> , <span style="font-size:17px">director</span> of	constitutional requirement on separation of <em>church</em> and state ? R. Sargent	<span style="font-size:17px">constitutional</span> <span style="font-size:17px">requirement</span> on <span style="font-size:17px">separation</span> of <em>church</em> and <span style="font-size:17px">state</span> ? <span style="font-size:17px">R.</span> <span style="font-size:17px">Sargent</span>	<span style="font-size:17px">constitutional</span> <span style="font-size:17px">requirement</span> on <span style="font-size:17px">separation</span> of <em>church</em> and <span style="font-size:17px">state</span> ? <span style="font-size:17px">R.</span> <span style="font-size:17px">Sargent</span>
building	True	10.0	10.0	5.0	5.0	br-a09	c1	C	church/N/br-a09/1417	churches	, garden apartments , four small parks , schools , <em>churches</em> , a shopping center and several small clusters of stores	, <span style="font-size:17px">garden</span> <span style="font-size:17px">apartments</span> , four <span style="font-size:17px">small</span> <span style="font-size:17px">parks</span> , <span style="font-size:17px">schools</span> , <em>churches</em> , a <span style="font-size:17px">shopping</span> <span style="font-size:17px">center</span> and <span style="font-size:17px">several</span> <span style="font-size:17px">small</span> <span style="font-size:17px">clusters</span> of <span style="font-size:17px">stores</span>	, <span style="font-size:17px">garden</span> <span style="font-size:17px">apartments</span> , four <span style="font-size:17px">small</span> <span style="font-size:17px">parks</span> , <span style="font-size:17px">schools</span> , <em>churches</em> , a <span style="font-size:17px">shopping</span> <span style="font-size:17px">center</span> and <span style="font-size:17px">several</span> <span style="font-size:17px">small</span> <span style="font-size:17px">clusters</span> of <span style="font-size:17px">stores</span>	small parks , schools , <em>churches</em> , a shopping center and	<span style="font-size:17px">small</span> <span style="font-size:17px">parks</span> , <span style="font-size:17px">schools</span> , <em>churches</em> , a <span style="font-size:17px">shopping</span> <span style="font-size:17px">center</span> and	<span style="font-size:17px">small</span> <span style="font-size:17px">parks</span> , <span style="font-size:17px">schools</span> , <em>churches</em> , a <span style="font-size:17px">shopping</span> <span style="font-size:17px">center</span> and
building	True	9.0	9.0	4.0	4.0	br-a10	c3	C	church/N/br-a10/1674	churches	forthcoming program , `` Breakthrough '' scheduled to fill the <em>churches</em> for the next two years . In his opening address	<span style="font-size:17px">forthcoming</span> <span style="font-size:17px">program</span> , `` <span style="font-size:17px">Breakthrough</span> '' <span style="font-size:17px">scheduled</span> to <span style="font-size:17px">fill</span> the <em>churches</em> for the <span style="font-size:17px">next</span> two <span style="font-size:17px">years</span> . In his <span style="font-size:17px">opening</span> <span style="font-size:17px">address</span>	<span style="font-size:17px">forthcoming</span> <span style="font-size:17px">program</span> , `` <span style="font-size:17px">Breakthrough</span> '' <span style="font-size:17px">scheduled</span> to <span style="font-size:17px">fill</span> the <em>churches</em> for the <span style="font-size:17px">next</span> two <span style="font-size:17px">years</span> . In his <span style="font-size:17px">opening</span> <span style="font-size:17px">address</span>	'' scheduled to fill the <em>churches</em> for the next two years	'' <span style="font-size:17px">scheduled</span> to <span style="font-size:17px">fill</span> the <em>churches</em> for the <span style="font-size:17px">next</span> two <span style="font-size:17px">years</span>	'' <span style="font-size:17px">scheduled</span> to <span style="font-size:17px">fill</span> the <em>churches</em> for the <span style="font-size:17px">next</span> two <span style="font-size:17px">years</span>
organization	False	6.0	6.0	4.0	4.0	br-a10	d	D	church/N/br-a10/1754	church	one out of three Americans has vital contact with the <em>church</em> . This means that more than 100 million have no	one out of three <span style="font-size:17px">Americans</span> <span style="font-size:17px">has</span> <span style="font-size:17px">vital</span> <span style="font-size:17px">contact</span> with the <em>church</em> . This <span style="font-size:17px">means</span> that more than 100 <span style="font-size:17px">million</span> <span style="font-size:17px">have</span> no	one out of three <span style="font-size:17px">Americans</span> <span style="font-size:17px">has</span> <span style="font-size:17px">vital</span> <span style="font-size:17px">contact</span> with the <em>church</em> . This <span style="font-size:17px">means</span> that more than 100 <span style="font-size:17px">million</span> <span style="font-size:17px">have</span> no	has vital contact with the <em>church</em> . This means that more	<span style="font-size:17px">has</span> <span style="font-size:17px">vital</span> <span style="font-size:17px">contact</span> with the <em>church</em> . This <span style="font-size:17px">means</span> that more	<span style="font-size:17px">has</span> <span style="font-size:17px">vital</span> <span style="font-size:17px">contact</span> with the <em>church</em> . This <span style="font-size:17px">means</span> that more
organization	False	9.0	9.0	4.0	4.0	br-a10	d	D	church/N/br-a10/1769	church	more than 100 million have no vital touch with the <em>church</em> or religious life '' , he told delegates Friday .	more than 100 <span style="font-size:17px">million</span> <span style="font-size:17px">have</span> no <span style="font-size:17px">vital</span> <span style="font-size:17px">touch</span> with the <em>church</em> or <span style="font-size:17px">religious</span> <span style="font-size:17px">life</span> '' , he <span style="font-size:17px">told</span> <span style="font-size:17px">delegates</span> <span style="font-size:17px">Friday</span> .	more than 100 <span style="font-size:17px">million</span> <span style="font-size:17px">have</span> no <span style="font-size:17px">vital</span> <span style="font-size:17px">touch</span> with the <em>church</em> or <span style="font-size:17px">religious</span> <span style="font-size:17px">life</span> '' , he <span style="font-size:17px">told</span> <span style="font-size:17px">delegates</span> <span style="font-size:17px">Friday</span> .	no vital touch with the <em>church</em> or religious life '' ,	no <span style="font-size:17px">vital</span> <span style="font-size:17px">touch</span> with the <em>church</em> or <span style="font-size:17px">religious</span> <span style="font-size:17px">life</span> '' ,	no <span style="font-size:17px">vital</span> <span style="font-size:17px">touch</span> with the <em>church</em> or <span style="font-size:17px">religious</span> <span style="font-size:17px">life</span> '' ,
congregation	False	7.0	8.0	4.0	5.0	br-a10	b	B	church/N/br-a10/1831	churches	'' . `` In 35 years we have opened 7000 <em>churches</em> '' , the Rev. Mr. Brandt said , adding that	'' . `` In 35 <span style="font-size:17px">years</span> we <span style="font-size:17px">have</span> <span style="font-size:17px">opened</span> 7000 <em>churches</em> '' , the Rev. <span style="font-size:17px">Mr.</span> <span style="font-size:17px">Brandt</span> <span style="font-size:17px">said</span> , <span style="font-size:17px">adding</span> that	'' . `` In 35 <span style="font-size:17px">years</span> we <span style="font-size:17px">have</span> <span style="font-size:17px">opened</span> 7000 <em>churches</em> '' , the <span style="font-size:17px">Rev.</span> <span style="font-size:17px">Mr.</span> <span style="font-size:17px">Brandt</span> <span style="font-size:17px">said</span> , <span style="font-size:17px">adding</span> that	years we have opened 7000 <em>churches</em> '' , the Rev. Mr.	<span style="font-size:17px">years</span> we <span style="font-size:17px">have</span> <span style="font-size:17px">opened</span> 7000 <em>churches</em> '' , the Rev. <span style="font-size:17px">Mr.</span>	<span style="font-size:17px">years</span> we <span style="font-size:17px">have</span> <span style="font-size:17px">opened</span> 7000 <em>churches</em> '' , the <span style="font-size:17px">Rev.</span> <span style="font-size:17px">Mr.</span>
congregation	False	7.0	7.0	3.0	3.0	br-a10	b	B	church/N/br-a10/1850	church	adding that the denomination had a national goal of one <em>church</em> for every 10000 persons . `` In this light we	<span style="font-size:17px">adding</span> that the <span style="font-size:17px">denomination</span> <span style="font-size:17px">had</span> a <span style="font-size:17px">national</span> <span style="font-size:17px">goal</span> of one <em>church</em> for every 10000 <span style="font-size:17px">persons</span> . `` In this <span style="font-size:17px">light</span> we	<span style="font-size:17px">adding</span> that the <span style="font-size:17px">denomination</span> <span style="font-size:17px">had</span> a <span style="font-size:17px">national</span> <span style="font-size:17px">goal</span> of one <em>church</em> for every 10000 <span style="font-size:17px">persons</span> . `` In this <span style="font-size:17px">light</span> we	a national goal of one <em>church</em> for every 10000 persons .	a <span style="font-size:17px">national</span> <span style="font-size:17px">goal</span> of one <em>church</em> for every 10000 <span style="font-size:17px">persons</span> .	a <span style="font-size:17px">national</span> <span style="font-size:17px">goal</span> of one <em>church</em> for every 10000 <span style="font-size:17px">persons</span> .
congregation	False	5.0	5.0	3.0	3.0	br-a10	b	B	church/N/br-a10/1863	churches	10000 persons . `` In this light we need 1000 <em>churches</em> in Illinois , where we have 200 ; 800 in	10000 <span style="font-size:17px">persons</span> . `` In this <span style="font-size:17px">light</span> we <span style="font-size:17px">need</span> 1000 <em>churches</em> in <span style="font-size:17px">Illinois</span> , where we <span style="font-size:17px">have</span> 200 ; 800 in	10000 <span style="font-size:17px">persons</span> . `` In this <span style="font-size:17px">light</span> we <span style="font-size:17px">need</span> 1000 <em>churches</em> in <span style="font-size:17px">Illinois</span> , where we <span style="font-size:17px">have</span> 200 ; 800 in	this light we need 1000 <em>churches</em> in Illinois , where we	this <span style="font-size:17px">light</span> we <span style="font-size:17px">need</span> 1000 <em>churches</em> in <span style="font-size:17px">Illinois</span> , where we	this <span style="font-size:17px">light</span> we <span style="font-size:17px">need</span> 1000 <em>churches</em> in <span style="font-size:17px">Illinois</span> , where we
