_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
huldigen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.11317963240353206	-0.05324913404558447	NA	NA	bound	335	lex	10_10	1	weight	5000	5000	nav	4_4	222	huldigen	0.1441162661331408	BOW	nav_5000	c1	0
huldigen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.14685058175199664	-0.1332911004430198	NA	NA	bound	335	lex	10_10	1	weight	5000	5000	all	4_4	222	huldigen	0.20158951776449113	BOW	all_5000	c2	0
huldigen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10933067124415562	0.027843814485652537	NA	NA	bound	335	lex	10_10	1	weight	FOC	218	nav	4_4	222	huldigen	0.14748884240422303	BOW	nav_FOC	c3	0
huldigen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10194338491851238	0.022363779926087637	NA	NA	bound	335	lex	10_10	1	weight	FOC	335	all	4_4	222	huldigen	0.14169684535177846	BOW	all_FOC	c3	0
huldigen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.12364504778990822	-0.031185018713586237	NA	NA	bound	335	lex	10_10	1	selection	5000	5000	nav	4_4	222	huldigen	0.14682072475409025	BOW	nav_5000	c1	0
huldigen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.23012962001239512	-0.10385799764740171	NA	NA	bound	335	lex	10_10	1	selection	5000	5000	all	4_4	222	huldigen	0.22505936601422774	BOW	all_5000	c2	0
huldigen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.12753097207142783	0.07667242117661976	NA	NA	bound	335	lex	10_10	1	selection	FOC	218	nav	4_4	222	huldigen	0.1395198031269339	BOW	nav_FOC	c3	0
huldigen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.11446165269234176	0.06975065839347495	NA	NA	bound	335	lex	10_10	1	selection	FOC	335	all	4_4	222	huldigen	0.143243957838398	BOW	all_FOC	c3	1
huldigen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13725233293695244	0.08566279490712062	NA	NA	bound	637	lex	10_10	1	no	5000	5000	nav	4_4	225	huldigen	0.15608803637699853	BOW	nav_5000	c3	0
huldigen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.2254817013412855	0.18916391048677175	NA	NA	bound	637	lex	10_10	1	no	5000	5000	all	4_4	225	huldigen	0.2045580582355386	BOW	all_5000	c3	0
huldigen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.10919704648244374	0.1318309516934213	NA	NA	bound	637	lex	10_10	1	no	FOC	450	nav	4_4	225	huldigen	0.14111990086262435	BOW	nav_FOC	c3	0
huldigen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.10945248696016231	0.13656463632340085	NA	NA	bound	637	lex	10_10	1	no	FOC	637	all	4_4	225	huldigen	0.12951189312866448	BOW	all_FOC	c3	0
huldigen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.06354179922165852	-0.06349869241392703	NA	NA	bound	596	all	10_10	1	weight	5000	5000	nav	4_4	230	huldigen	0.13129165342366297	BOW	nav_5000	c1	0
huldigen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.00893175518202341	-0.13593971679879568	NA	NA	bound	596	all	10_10	1	weight	5000	5000	all	4_4	230	huldigen	0.1849919274220372	BOW	all_5000	c2	0
huldigen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06477992837230288	0.0450010249158179	NA	NA	bound	596	all	10_10	1	weight	FOC	218	nav	4_4	230	huldigen	0.13188176970136684	BOW	nav_FOC	c3	0
huldigen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.045170094319453215	0.055927614792368484	NA	NA	bound	596	all	10_10	1	weight	FOC	596	all	4_4	230	huldigen	0.1397101052746283	BOW	all_FOC	c3	0
huldigen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.10929441032795134	0.015014824755435915	NA	NA	bound	596	all	10_10	1	selection	5000	5000	nav	4_4	230	huldigen	0.19057298464518424	BOW	nav_5000	c4	0
huldigen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.24362665088804633	0.18273080651798432	NA	NA	bound	596	all	10_10	1	selection	5000	5000	all	4_4	230	huldigen	0.19193003711261022	BOW	all_5000	c5	0
huldigen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.002403658989845432	0.1020208987943426	NA	NA	bound	596	all	10_10	1	selection	FOC	218	nav	4_4	230	huldigen	0.15315364831635875	BOW	nav_FOC	c3	0
huldigen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.027745912934782974	0.12555176767772466	NA	NA	bound	596	all	10_10	1	selection	FOC	596	all	4_4	230	huldigen	0.1505477231338742	BOW	all_FOC	c4	0
huldigen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.04798183259865524	0.1970528439597827	NA	NA	bound	1059	all	10_10	1	no	5000	5000	nav	4_4	230	huldigen	0.18025223282403663	BOW	nav_5000	c6	0
huldigen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.19651352587226348	0.28419439404406066	NA	NA	bound	1059	all	10_10	1	no	5000	5000	all	4_4	230	huldigen	0.1856205345248129	BOW	all_5000	c6	0
