_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16551482913902507	-0.04432217373506914	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	weight	nav	4_4	0.16062176181479862	BOW	nav_5000	c1	0
stof.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.1339818036409036	-0.29472757048316905	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	weight	all	4_4	0.21755316042018488	BOW	all_5000	c2	0
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.2266327187679158	-0.023817488519168813	1	FOC	507	311	stof	NA	NA	bound	648	lex	10_10	weight	nav	4_4	0.1403817747364661	BOW	nav_FOC	c1	0
stof.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.22694297136203956	-0.026189909995159317	1	FOC	648	311	stof	NA	NA	bound	648	lex	10_10	weight	all	4_4	0.1300451137716368	BOW	all_FOC	c1	0
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16291549816900402	-0.08460006004656413	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	selection	nav	4_4	0.17149533282915877	BOW	nav_5000	c3	0
stof.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.1967429782983809	-0.36254672260528564	1	5000	5000	311	stof	NA	NA	bound	648	lex	10_10	selection	all	4_4	0.21604720649147693	BOW	all_5000	c2	0
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.21809156901906604	-0.04384232431664896	1	FOC	507	311	stof	NA	NA	bound	648	lex	10_10	selection	nav	4_4	0.1494547507855801	BOW	nav_FOC	c1	0
stof.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2172479954085462	-0.04673218342897419	1	FOC	648	311	stof	NA	NA	bound	648	lex	10_10	selection	all	4_4	0.13890882734631418	BOW	all_FOC	c1	0
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.17767578800958556	-0.10727577970717904	1	5000	5000	313	stof	NA	NA	bound	1132	lex	10_10	no	nav	4_4	0.15380607184535408	BOW	nav_5000	c3	0
stof.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.30095452840108433	-0.5063286802699282	1	5000	5000	313	stof	NA	NA	bound	1132	lex	10_10	no	all	4_4	0.18462533743398285	BOW	all_5000	c2	0
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21455481261751053	-0.06315133533193233	1	FOC	870	313	stof	NA	NA	bound	1132	lex	10_10	no	nav	4_4	0.1344177850841555	BOW	nav_FOC	c3	0
stof.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.21411530112214672	-0.06615962533003916	1	FOC	1132	313	stof	NA	NA	bound	1132	lex	10_10	no	all	4_4	0.12871421884125037	BOW	all_FOC	c3	0
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.12632072856028284	-0.03609082081510533	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	weight	nav	4_4	0.1301140075921401	BOW	nav_5000	c1	0
stof.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.2238058335520268	-0.15615044641426348	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	weight	all	4_4	0.1876948609559224	BOW	all_5000	c4	0
stof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19203525676275623	-0.004298520916616283	1	FOC	507	313	stof	NA	NA	bound	766	all	10_10	weight	nav	4_4	0.12172253143255632	BOW	nav_FOC	c1	0
stof.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.18267329608215868	-0.006187538150743909	1	FOC	766	313	stof	NA	NA	bound	766	all	10_10	weight	all	4_4	0.11092386993716943	BOW	all_FOC	c1	0
stof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.028629659168962478	-0.009461147865864168	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	selection	nav	4_4	0.23108406108940344	BOW	nav_5000	c3	0
stof.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.5845866983697646	-0.038021448734291245	1	5000	5000	313	stof	NA	NA	bound	766	all	10_10	selection	all	4_4	0.21284970453358146	BOW	all_5000	c5	0
stof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.15415576969046457	-0.005574956456493327	1	FOC	507	313	stof	NA	NA	bound	766	all	10_10	selection	nav	4_4	0.15069699244653412	BOW	nav_FOC	c3	0
stof.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.1435873231969982	-0.011090514785217432	1	FOC	766	313	stof	NA	NA	bound	766	all	10_10	selection	all	4_4	0.15043675053220598	BOW	all_FOC	c3	0
stof.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.053204221777488125	-0.14455278447123845	1	5000	5000	313	stof	NA	NA	bound	1416	all	10_10	no	nav	4_4	0.23350219755798512	BOW	nav_5000	c3	0
stof.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.652128028516142	-0.14893217703585754	1	5000	5000	313	stof	NA	NA	bound	1416	all	10_10	no	all	4_4	0.18867008559597667	BOW	all_5000	c5	0
stof.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.14454407635665223	-0.0546487367896675	1	FOC	870	313	stof	NA	NA	bound	1416	all	10_10	no	nav	4_4	0.16119614832331985	BOW	nav_FOC	c3	1
stof.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.12550648089949346	-0.08872217547488724	1	FOC	1416	313	stof	NA	NA	bound	1416	all	10_10	no	all	4_4	0.18006988245396008	BOW	all_FOC	c3	0
stof.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.16144320995475925	-0.04264427341856369	1	5000	5000	307	stof	NA	NA	bound	483	lex	5_5	weight	nav	4_4	0.15597565634217328	BOW	nav_5000	c1	0
stof.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.1584338652622766	-0.2885180957793224	1	5000	5000	307	stof	NA	NA	bound	483	lex	5_5	weight	all	4_4	0.22069632200366393	BOW	all_5000	c2	0
stof.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.21171613331380307	-0.01963255669471694	1	FOC	375	307	stof	NA	NA	bound	483	lex	5_5	weight	nav	4_4	0.16335298152190486	BOW	nav_FOC	c1	0
stof.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.2072633169721213	-0.021616160374072445	1	FOC	483	307	stof	NA	NA	bound	483	lex	5_5	weight	all	4_4	0.15129935342700318	BOW	all_FOC	c1	0
stof.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.15605288557250077	-0.07228930674107295	1	5000	5000	307	stof	NA	NA	bound	483	lex	5_5	selection	nav	4_4	0.16805559814058774	BOW	nav_5000	c1	0
stof.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.21874756974782067	-0.34477181544158503	1	5000	5000	307	stof	NA	NA	bound	483	lex	5_5	selection	all	4_4	0.2184140877380742	BOW	all_5000	c2	1
stof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.19909083335866642	-0.0273461996477794	1	FOC	375	307	stof	NA	NA	bound	483	lex	5_5	selection	nav	4_4	0.16676757233497502	BOW	nav_FOC	c1	0
stof.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.19588257459341746	-0.031011008899753747	1	FOC	483	307	stof	NA	NA	bound	483	lex	5_5	selection	all	4_4	0.15449684163950542	BOW	all_FOC	c1	0
stof.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.1443581521427043	-0.0798653879290198	1	5000	5000	312	stof	NA	NA	bound	711	lex	5_5	no	nav	4_4	0.1554352928786888	BOW	nav_5000	c6	0
stof.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.2761075671582416	-0.3791712569483256	1	5000	5000	312	stof	NA	NA	bound	711	lex	5_5	no	all	4_4	0.21573154867643649	BOW	all_5000	c2	0
stof.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.19265310039905806	-0.04546595930273343	1	FOC	542	312	stof	NA	NA	bound	711	lex	5_5	no	nav	4_4	0.14751359497910047	BOW	nav_FOC	c6	0
stof.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.19036340294568724	-0.05039007611407553	1	FOC	711	312	stof	NA	NA	bound	711	lex	5_5	no	all	4_4	0.137415486713441	BOW	all_FOC	c6	0
stof.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11260018047604121	-0.03145713107662794	1	5000	5000	313	stof	NA	NA	bound	583	all	5_5	weight	nav	4_4	0.12696563876328124	BOW	nav_5000	c1	0
stof.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.2513471784492703	-0.13259920523842614	1	5000	5000	313	stof	NA	NA	bound	583	all	5_5	weight	all	4_4	0.1832444794796728	BOW	all_5000	c4	1
stof.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1816912352073916	0.0022652452580835722	1	FOC	375	313	stof	NA	NA	bound	583	all	5_5	weight	nav	4_4	0.13902343457735097	BOW	nav_FOC	c1	0
stof.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1691541417678902	-2.5590573422652942e-5	1	FOC	583	313	stof	NA	NA	bound	583	all	5_5	weight	all	4_4	0.1254104875225763	BOW	all_FOC	c1	1
stof.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.08562989473155123	0.06802350470751992	1	5000	5000	313	stof	NA	NA	bound	583	all	5_5	selection	nav	4_4	0.24601980636796583	BOW	nav_5000	c7	0
