_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
helpen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.21606931609634047	0.11571685673578756	NA	NA	bound	355	lex	10_10	1	weight	nav_5000	5000	4_4	218	helpen	0.2537577588509305	BOW	c1	0
helpen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3024731558168035	-0.05530751258366746	NA	NA	bound	355	lex	10_10	1	weight	all_5000	5000	4_4	218	helpen	0.2744774161165225	BOW	c2	0
helpen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15066825874309298	0.15719232446618364	NA	NA	bound	355	lex	10_10	1	weight	nav_FOC	256	4_4	218	helpen	0.26715669132174563	BOW	c1	0
helpen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.16251901201494168	0.1354320855033286	NA	NA	bound	355	lex	10_10	1	weight	all_FOC	355	4_4	218	helpen	0.2618534339084531	BOW	c1	0
helpen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.19334393689170032	0.0995019333361179	NA	NA	bound	355	lex	10_10	1	selection	nav_5000	5000	4_4	218	helpen	0.2458480276874278	BOW	c1	0
helpen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3010781409431174	-0.0959685497970187	NA	NA	bound	355	lex	10_10	1	selection	all_5000	5000	4_4	218	helpen	0.2585103020393394	BOW	c2	0
helpen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.14002859417334798	0.114834223825712	NA	NA	bound	355	lex	10_10	1	selection	nav_FOC	256	4_4	218	helpen	0.25393070570159954	BOW	c1	0
helpen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1422176201939187	0.11576863693789058	NA	NA	bound	355	lex	10_10	1	selection	all_FOC	355	4_4	218	helpen	0.2484059513901077	BOW	c1	1
helpen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.28096728481693045	0.1268036347149227	NA	NA	bound	741	lex	10_10	1	no	nav_5000	5000	4_4	228	helpen	0.26632362238316254	BOW	c1	0
helpen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3694406660271081	-0.25699876612783906	NA	NA	bound	741	lex	10_10	1	no	all_5000	5000	4_4	228	helpen	0.25873138599130674	BOW	c2	0
helpen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.1813245074542524	0.06976759958338531	NA	NA	bound	741	lex	10_10	1	no	nav_FOC	565	4_4	228	helpen	0.2674296573838605	BOW	c1	0
helpen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.17408946720142562	0.07610985303915686	NA	NA	bound	741	lex	10_10	1	no	all_FOC	741	4_4	228	helpen	0.25857307300597787	BOW	c1	0
helpen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.26516687321748034	0.01169659257618635	NA	NA	bound	478	all	10_10	1	weight	nav_5000	5000	4_4	229	helpen	0.22655783167857232	BOW	c3	0
helpen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.04194019364957576	-0.24524249801019118	NA	NA	bound	478	all	10_10	1	weight	all_5000	5000	4_4	229	helpen	0.25953018277825307	BOW	c4	0
helpen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.22063172908734768	0.05620046289316839	NA	NA	bound	478	all	10_10	1	weight	nav_FOC	256	4_4	229	helpen	0.2265861025804426	BOW	c3	0
helpen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.1958147224169406	0.06083693063747274	NA	NA	bound	478	all	10_10	1	weight	all_FOC	478	4_4	229	helpen	0.22231416705686363	BOW	c3	0
helpen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1392667798649628	-5.678857895499193e-4	NA	NA	bound	478	all	10_10	1	selection	nav_5000	5000	4_4	229	helpen	0.22818172043102294	BOW	c5	0
helpen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.05871137581305379	-0.3155069574120056	NA	NA	bound	478	all	10_10	1	selection	all_5000	5000	4_4	229	helpen	0.25753722430539056	BOW	c4	0
