_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base	soc_vector	pam_cluster	is_medoid
haten.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.29404309728493744	0.13039493987028927	NA	NA	bound	310	lex	10_10	1	weight	5000	5000	nav	4_4	210	haten	0.23933186032006531	BOW	nav_5000	c1	0
haten.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.37751345954624704	-0.21121757778356348	NA	NA	bound	310	lex	10_10	1	weight	5000	5000	all	4_4	210	haten	0.21489049522527304	BOW	all_5000	c2	0
haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.26076046171545275	0.21581631600125933	NA	NA	bound	310	lex	10_10	1	weight	FOC	234	nav	4_4	210	haten	0.2255744748523479	BOW	nav_FOC	c1	0
haten.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.2601780585120921	0.2091607150306893	NA	NA	bound	310	lex	10_10	1	weight	FOC	310	all	4_4	210	haten	0.2250369924976997	BOW	all_FOC	c1	0
haten.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.3130300762742716	0.06410540291627244	NA	NA	bound	310	lex	10_10	1	selection	5000	5000	nav	4_4	210	haten	0.24716951506889562	BOW	nav_5000	c1	0
haten.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.37816752473019277	-0.2576658636195198	NA	NA	bound	310	lex	10_10	1	selection	5000	5000	all	4_4	210	haten	0.2225880463578782	BOW	all_5000	c2	0
haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.24715705958975484	0.19131071806048275	NA	NA	bound	310	lex	10_10	1	selection	FOC	234	nav	4_4	210	haten	0.2201573362437225	BOW	nav_FOC	c1	0
haten.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2445760459332517	0.1914384172569373	NA	NA	bound	310	lex	10_10	1	selection	FOC	310	all	4_4	210	haten	0.21742050224938764	BOW	all_FOC	c1	0
haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2113476111937436	0.21855821126810132	NA	NA	bound	600	lex	10_10	1	no	5000	5000	nav	4_4	216	haten	0.22752109541062995	BOW	nav_5000	c1	0
haten.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.39361049623947153	-0.27163832237200203	NA	NA	bound	600	lex	10_10	1	no	5000	5000	all	4_4	216	haten	0.22540952222269803	BOW	all_5000	c2	0
haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.18657926028862967	0.23280849539967519	NA	NA	bound	600	lex	10_10	1	no	FOC	458	nav	4_4	216	haten	0.21136996795872576	BOW	nav_FOC	c1	0
haten.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.18721999274452578	0.25316714551157693	NA	NA	bound	600	lex	10_10	1	no	FOC	600	all	4_4	216	haten	0.2028134693062258	BOW	all_FOC	c1	0
haten.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.22200247752513969	0.056899811926350345	NA	NA	bound	451	all	10_10	1	weight	5000	5000	nav	4_4	228	haten	0.1583971348381978	BOW	nav_5000	c3	0
haten.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.15677832397250716	-0.14094019339549058	NA	NA	bound	451	all	10_10	1	weight	5000	5000	all	4_4	228	haten	0.20015853953639037	BOW	all_5000	c3	0
haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.18768299569804212	0.1057387157239822	NA	NA	bound	451	all	10_10	1	weight	FOC	234	nav	4_4	228	haten	0.14792294473083467	BOW	nav_FOC	c3	0
haten.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.21603033931845092	0.09154686062306808	NA	NA	bound	451	all	10_10	1	weight	FOC	451	all	4_4	228	haten	0.1460853122458846	BOW	all_FOC	c3	0
haten.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.09776262780622436	-0.0665737671830193	NA	NA	bound	451	all	10_10	1	selection	5000	5000	nav	4_4	228	haten	0.20179780966835742	BOW	nav_5000	c4	0
haten.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.06270380909921057	-0.32244720311117037	NA	NA	bound	451	all	10_10	1	selection	5000	5000	all	4_4	228	haten	0.24526543991372468	BOW	all_5000	c5	0
haten.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.11301019662059036	0.06306403281508315	NA	NA	bound	451	all	10_10	1	selection	FOC	234	nav	4_4	228	haten	0.16823978227160957	BOW	nav_FOC	c4	0
haten.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.1392020085366494	0.06291061443573444	NA	NA	bound	451	all	10_10	1	selection	FOC	451	all	4_4	228	haten	0.15726514262114077	BOW	all_FOC	c4	0
haten.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.05690981010712472	-0.1115365218102191	NA	NA	bound	841	all	10_10	1	no	5000	5000	nav	4_4	229	haten	0.14679472621318992	BOW	nav_5000	c4	0
