_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	base
horde.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.740223589923917	-0.2436721117764323	1	5000	5000	268	horde			bound	480	lex	10_10	weight	nav	4_4	0.1642559670882817	BOW	
horde.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.5094163056870058	-1.112606494513971	1	5000	5000	268	horde			bound	480	lex	10_10	weight	all	4_4	0.17613725262248586	BOW	
horde.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7843845727565101	0.10611078983729844	1	FOC	354	268	horde			bound	480	lex	10_10	weight	nav	4_4	0.16873160989051186	BOW	
horde.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.7437882373098594	0.06945262838053033	1	FOC	480	268	horde			bound	480	lex	10_10	weight	all	4_4	0.1590513701460823	BOW	
horde.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.8555000921825382	-0.17773954593412994	1	5000	5000	268	horde			bound	480	lex	10_10	selection	nav	4_4	0.18891975346553186	BOW	
horde.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.6259625951985319	-1.0355854281013868	1	5000	5000	268	horde			bound	480	lex	10_10	selection	all	4_4	0.1880964513249571	BOW	
horde.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7124984684910768	0.2330255577340374	1	FOC	354	268	horde			bound	480	lex	10_10	selection	nav	4_4	0.17068627282737658	BOW	
horde.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6920403557232231	0.2063083163028469	1	FOC	480	268	horde			bound	480	lex	10_10	selection	all	4_4	0.16426748212838174	BOW	
horde.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2363756497411649	0.7832674207538878	1	5000	5000	273	horde			bound	926	lex	10_10	no	nav	4_4	0.212157994803984	BOW	
horde.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-1.465800560783142	-1.2787005757867889	1	5000	5000	273	horde			bound	926	lex	10_10	no	all	4_4	0.20505468033989332	BOW	
