_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
spot.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1538445283658551	-0.043756226444124455	1	5000	5000	195	spot	NA	NA	bound	398	lex	10_10	weight	nav	4_4	0.16612840385968988	BOW	nav_5000	c1	0
spot.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1333662343278904	-0.16869837366394666	1	5000	5000	195	spot	NA	NA	bound	398	lex	10_10	weight	all	4_4	0.1806569834698251	BOW	all_5000	c2	0
spot.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.17263444391372632	0.0594921445693285	1	FOC	307	195	spot	NA	NA	bound	398	lex	10_10	weight	nav	4_4	0.14602873546992873	BOW	nav_FOC	c3	0
spot.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.16124634565151874	0.04679578745248802	1	FOC	398	195	spot	NA	NA	bound	398	lex	10_10	weight	all	4_4	0.1567258335456343	BOW	all_FOC	c3	0
spot.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.1340964141001698	-0.04725856141498804	1	5000	5000	195	spot	NA	NA	bound	398	lex	10_10	selection	nav	4_4	0.20422376232422507	BOW	nav_5000	c3	0
spot.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.13259171031967998	-0.1741411574589727	1	5000	5000	195	spot	NA	NA	bound	398	lex	10_10	selection	all	4_4	0.19665958182408774	BOW	all_5000	c2	0
spot.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1627262101062727	0.0737526925274455	1	FOC	307	195	spot	NA	NA	bound	398	lex	10_10	selection	nav	4_4	0.16739451766566432	BOW	nav_FOC	c3	0
spot.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.146926678190971	0.057391003008436664	1	FOC	398	195	spot	NA	NA	bound	398	lex	10_10	selection	all	4_4	0.1700380632979481	BOW	all_FOC	c3	0
spot.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.21798067496375712	0.1522958770787037	1	5000	5000	200	spot	NA	NA	bound	757	lex	10_10	no	nav	4_4	0.2223094352694977	BOW	nav_5000	c3	0
spot.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.23210619123723286	-0.21638825373528345	1	5000	5000	200	spot	NA	NA	bound	757	lex	10_10	no	all	4_4	0.20450384091881507	BOW	all_5000	c2	0
